	name	clean_text
140	Автономная Некоммерческая Организация «Аналитический Центр Юрия Левады»	автономная некоммерческая организация аналитический центр юрия левады 
141	Межрегиональная природоохранная и правозащитная общественная организация «Экологическая Вахта по Северному Кавказу»	межрегиональная природоохранная и правозащитная общественная организация экологическая вахта по северному кавказу 
142	Автономная некоммерческая правозащитная организация «Школа призывника»	автономная некоммерческая правозащитная организация школа призывника 
143	Фонд поддержки гражданских свобод «Правовая миссия»	фонд поддержки гражданских свобод правовая миссия 
144	Международная общественная организация «Международное историко-просветительское,благотворительное и правозащитное общество «Мемориал»	международная общественная организация международное историко просветительское благотворительное и правозащитное общество мемориал 
145	Свердловский областной общественный Фонд «Эра здоровья»	свердловский областной общественный фонд эра здоровья 
146	Чапаевская городская общественная организация «Ассоциация медицинских работников города Чапаевска»	чапаевская городская общественная организация ассоциация медицинских работников города чапаевска 
147	Региональный благотворительный фонд «Самарская губерния»	региональный благотворительный фонд самарская губерния 
148	Ассоциация «Интернет Сообщество»	ассоциация интернет сообщество 
149	Автономная некоммерческая организация социальной поддержки населения «Проект Апрель»	автономная некоммерческая организация социальной поддержки населения проект апрель 
150	Региональная общественная организация помощи женщинам и детям, находящимся в кризисной ситуации «Информационно-методический центр «Анна»	региональная общественная организация помощи женщинам и детям находящимся в кризисной ситуации информационно методический центр анна 
151	Краснодарская региональная благотворительная общественная организация «Южный правозащитный центр»	краснодарская региональная благотворительная общественная организация южный правозащитный центр 
152	Свердловское отделение Общероссийской общественной организации «Российское историко- просветительское, благотворительное и правозащитное общество «Мемориал»	свердловское отделение общероссийской общественной организации российское историко просветительское благотворительное и правозащитное общество мемориал 
153	Региональная общественная организация содействия просвещению граждан «Информационно- аналитический центр «Сова»	региональная общественная организация содействия просвещению граждан информационно аналитический центр сова 
154	Свердловская областная общественная организация содействия легальной миграции «Нелегалов.Нет»	свердловская областная общественная организация содействия легальной миграции нелегалов нет 
155	Санкт-Петербургская общественная организация Экологический правозащитный Центр «Беллона»	санкт петербургская общественная организация экологический правозащитный центр беллона 
156	Молодежная Общественная Организация Солонешенского района «Про-Движение»	молодежная общественная организация солонешенского района про движение 
157	Калининградское региональное общественное учреждение «Общество немецкой культуры и российских немцев «Айнтрахт Согласие»	калининградское региональное общественное учреждение общество немецкой культуры и российских немцев айнтрахт согласие 
158	Фонд содействия развитию массовых коммуникаций и правовому просвещению «Так-так-Так»	фонд содействия развитию массовых коммуникаций и правовому просвещению так так так 
159	Мурманская областная общественная организация «Кольский экологический центр»	мурманская областная общественная организация кольский экологический центр 
160	Фонд содействия устойчивому развитию «Серебряная тайга»	фонд содействия устойчивому развитию серебряная тайга 
161	Свердловский региональный общественный фонд социальных проектов «Новое время»	свердловский региональный общественный фонд социальных проектов новое время 
162	Краснодарское краевое отделение Общероссийской общественной организации «Российское историко- просветительское и правозащитное общество «Мемориал»	краснодарское краевое отделение общероссийской общественной организации российское историко просветительское и правозащитное общество мемориал 
163	Архангельская региональная молодежная экологическая общественная организация «Этас»	архангельская региональная молодежная экологическая общественная организация этас 
164	Вологодская региональная общественная организация «Культурно просветительское общество «Полония»	вологодская региональная общественная организация культурно просветительское общество полония 
165	Общероссийская общественная организация содействия развитию автомобильных перевозок «Объединение Перевозчиков России»	общероссийская общественная организация содействия развитию автомобильных перевозок объединение перевозчиков россии 
166	«Голос Америки»	 голос америки 
167	«Idel.Реалии»	 idel реалии 
168	Кавказ.Реалии	кавказ реалии
169	Крым.Реалии	крым реалии
170	Телеканал Настоящее Время	телеканал настоящее время
171	Татаро-башкирская служба Радио Свобода (Azatliq Radiosi)	татаро башкирская служба радио свобода azatliq radiosi 
172	Радио Свободная Европа/Радио Свобода (PCE/PC)	радио свободная европа радио свобода pce pc 
173	«Сибирь.Реалии»	 сибирь реалии 
174	«Фактограф»	 фактограф 
175	Алтайская краевая общественная просветительская организация в сфере охраны здоровья «Выбор»	алтайская краевая общественная просветительская организация в сфере охраны здоровья выбор 
176	Алтайское краевое общественное движение поддержки гражданских и социальных инициатив «Согласие»	алтайское краевое общественное движение поддержки гражданских и социальных инициатив согласие 
177	Городской благотворительный фонд «Фонд Тольятти»	городской благотворительный фонд фонд тольятти 
178	Фонд «Институт экономических и социальных исследований»	фонд институт экономических и социальных исследований 
179	Саратовское региональное отделение межрегиональной общественной организации «Евро-Азиатское геофизическое общество»	саратовское региональное отделение межрегиональной общественной организации евро азиатское геофизическое общество 
180	Благотворительный фонд помощи осужденным и их семьям	благотворительный фонд помощи осужденным и их семьям
181	Благотворительный фонд охраны здоровья и защиты прав граждан	благотворительный фонд охраны здоровья и защиты прав граждан
182	Челябинское региональное диабетическое общественное движение «ВМЕСТЕ»	челябинское региональное диабетическое общественное движение вместе 
183	Автономная некоммерческая организация по оказанию услуг в области защиты прав человека «Молодежная правозащитная группа»	автономная некоммерческая организация по оказанию услуг в области защиты прав человека молодежная правозащитная группа 
184	Автономная некоммерческая организация противодействия эпидемии ВИЧ/СПИДа и охраны здоровья социально-уязвимых групп населения «Центр социально-информационных инициатив Действие»	автономная некоммерческая организация противодействия эпидемии вич спида и охраны здоровья социально уязвимых групп населения центр социально информационных инициатив действие 
185	Автономная некоммерческая организация «Институт глобализации и социальных движений»	автономная некоммерческая организация институт глобализации и социальных движений 
186	Общероссийское общественное движение защиты прав человека «За права человека»	общероссийское общественное движение защиты прав человека за права человека 
187	Фонд «В защиту прав заключенных»	фонд в защиту прав заключенных 
188	Региональная общественная организация содействия соблюдению прав человека «Горячая линия»	региональная общественная организация содействия соблюдению прав человека горячая линия 
189	Частное учреждение «Центр поддержки и содействия развитию средств массовой информации»	частное учреждение центр поддержки и содействия развитию средств массовой информации 
190	Общественная организация «Саратовский областной еврейский благотворительный центр «Хасдей Ерушалаим» (Милосердие)	общественная организация саратовский областной еврейский благотворительный центр хасдей ерушалаим милосердие 
191	Ингушское республиканское отделение Общероссийской общественной организации «Российский Красный Крест»	ингушское республиканское отделение общероссийской общественной организации российский красный крест 
192	Саратовская региональная общественная организация инвалидов, больных сахарным диабетом	саратовская региональная общественная организация инвалидов больных сахарным диабетом
193	Пензенский региональный общественный благотворительный фонд «Гражданский союз»	пензенский региональный общественный благотворительный фонд гражданский союз 
194	Некоммерческая организация «Фонд борьбы с коррупцией»	некоммерческая организация фонд борьбы с коррупцией 
195	Ингушская региональная общественная организация «Институт социальных изменений»	ингушская региональная общественная организация институт социальных изменений 
196	Автономная некоммерческая организация информационных и правовых услуг «Гражданская инициатива против экологической преступности»	автономная некоммерческая организация информационных и правовых услуг гражданская инициатива против экологической преступности 
197	«Север.Реалии»	 север реалии 
198	Фонд «Общественный фонд социального развития «Генезис»	фонд общественный фонд социального развития генезис 
199	Некоммерческая организация Фонд «Правовая инициатива»	некоммерческая организация фонд правовая инициатива 
200	Общество с ограниченной ответственностью «Радио Свободная Европа/Радио Свобода»	общество с ограниченной ответственностью радио свободная европа радио свобода 
201	Автономная некоммерческая организация Центр развития социальных инициатив «Проектория»	автономная некоммерческая организация центр развития социальных инициатив проектория 
202	Фонд содействия правовому просвещению населения «Лига Избирателей»	фонд содействия правовому просвещению населения лига избирателей 
203	Санкт-Петербургский благотворительный фонд «Гуманитарное действие»	санкт петербургский благотворительный фонд гуманитарное действие 
204	Социально-ориентированная автономная некоммерческая организация содействия профилактике и охране здоровья граждан «Феникс плюс»	социально ориентированная автономная некоммерческая организация содействия профилактике и охране здоровья граждан феникс плюс 
205	Межрегиональная общественная организация реализации социально- просветительских инициатив и образовательных проектов «Открытый Петербург»	межрегиональная общественная организация реализации социально просветительских инициатив и образовательных проектов открытый петербург 
206	Автономная некоммерческая организация социально-правовых услуг «Акцент»	автономная некоммерческая организация социально правовых услуг акцент 
207	Чешское информационное агентство «MEDIUM-ORIENT»	чешское информационное агентство medium orient 
208	Некоммерческая организация «Фонд защиты прав граждан»	некоммерческая организация фонд защиты прав граждан 
209	Программно-целевой Благотворительный Фонд «СВЕЧА»	программно целевой благотворительный фонд свеча 
210	Красноярская региональная общественная организация «Мы против СПИДа»	красноярская региональная общественная организация мы против спида 
211	Апахончич Дарья Александровна	апахончич дарья александровна
212	Камалягин Денис Николаевич	камалягин денис николаевич
213	Маркелов Сергей Евгеньевич	маркелов сергей евгеньевич
214	Пономарев Лев Александрович	пономарев лев александрович
215	Савицкая Людмила Алексеевна	савицкая людмила алексеевна
216	Автономная некоммерческая организация «Центр по работе с проблемой насилия «НАСИЛИЮ.НЕТ»	автономная некоммерческая организация центр по работе с проблемой насилия насилию нет 
217	Межрегиональный профессиональный союз работников здравоохранения «Альянс врачей»	межрегиональный профессиональный союз работников здравоохранения альянс врачей 
218	Юридическое лицо,зарегистрированное в Латвийской Республике, SIA «Medusa Project»	юридическое лицо зарегистрированное в латвийской республике sia medusa project 
219	Общество с ограниченной ответственностью «Первое антикоррупционное СМИ»	общество с ограниченной ответственностью первое антикоррупционное сми 
220	Некоммерческая организация «Фонд по борьбе с коррупцией»	некоммерческая организация фонд по борьбе с коррупцией 
221	Юридическое лицо,зарегистрированное в Королевстве Нидерландов, Stichting 2 Oktober, являющееся администратором доменного имени интернет-ресурса «VTimes.io»	юридическое лицо зарегистрированное в королевстве нидерландов stichting 2 oktober являющееся администратором доменного имени интернет ресурса vtimes io 
